timestep,vehicle_id,vehicle_type,charging_station,battery_soc_percent
1067.0,evan_03,eVan,ebus_depot_n3,77.69528571428572
1068.0,evan_03,eVan,ebus_depot_n3,77.81425714285714
1069.0,evan_03,eVan,ebus_depot_n3,77.93322857142857
1070.0,evan_03,eVan,ebus_depot_n3,78.05217142857143
1071.0,evan_03,eVan,ebus_depot_n3,78.17114285714285
1072.0,evan_03,eVan,ebus_depot_n3,78.29011428571428
1073.0,evan_03,eVan,ebus_depot_n3,78.40908571428572
1074.0,evan_03,eVan,ebus_depot_n3,78.52805714285715
1075.0,evan_03,eVan,ebus_depot_n3,78.64702857142856
1076.0,evan_03,eVan,ebus_depot_n3,78.76597142857142
1077.0,evan_03,eVan,ebus_depot_n3,78.88494285714286
1078.0,evan_03,eVan,ebus_depot_n3,79.00391428571429
1079.0,evan_03,eVan,ebus_depot_n3,79.1228857142857
1080.0,evan_03,eVan,ebus_depot_n3,79.24185714285714
1081.0,evan_03,eVan,ebus_depot_n3,79.36082857142857
1082.0,evan_03,eVan,ebus_depot_n3,79.47977142857142
1083.0,evan_03,eVan,ebus_depot_n3,79.59874285714285
1084.0,evan_03,eVan,ebus_depot_n3,79.7177142857143
1085.0,evan_03,eVan,ebus_depot_n3,79.83668571428572
1086.0,evan_03,eVan,ebus_depot_n3,79.95565714285713
1087.0,evan_03,eVan,ebus_depot_n3,80.07462857142856
1088.0,evan_03,eVan,ebus_depot_n3,80.19357142857143
1089.0,evan_03,eVan,ebus_depot_n3,80.31254285714286
1090.0,evan_03,eVan,ebus_depot_n3,80.43151428571427
1091.0,evan_03,eVan,ebus_depot_n3,80.55048571428571
1092.0,evan_03,eVan,ebus_depot_n3,80.66945714285715
1093.0,evan_03,eVan,ebus_depot_n3,80.78842857142857
1094.0,evan_03,eVan,ebus_depot_n3,80.90737142857142
1095.0,evan_03,eVan,ebus_depot_n3,81.02634285714286
1096.0,evan_03,eVan,ebus_depot_n3,81.14531428571429
1097.0,evan_03,eVan,ebus_depot_n3,81.2642857142857
1098.0,evan_03,eVan,ebus_depot_n3,81.38325714285715
1099.0,evan_03,eVan,ebus_depot_n3,81.50222857142857
1100.0,evan_03,eVan,ebus_depot_n3,81.62117142857143
1101.0,evan_03,eVan,ebus_depot_n3,81.74014285714286
1102.0,evan_03,eVan,ebus_depot_n3,81.85911428571428
1103.0,evan_03,eVan,ebus_depot_n3,81.97808571428573
1104.0,evan_03,eVan,ebus_depot_n3,82.09705714285714
1105.0,evan_03,eVan,ebus_depot_n3,82.21602857142857
1106.0,evan_03,eVan,ebus_depot_n3,82.33497142857144
1107.0,evan_03,eVan,ebus_depot_n3,82.45394285714286
1108.0,evan_03,eVan,ebus_depot_n3,82.57291428571428
1109.0,evan_03,eVan,ebus_depot_n3,82.69188571428572
1110.0,evan_03,eVan,ebus_depot_n3,82.81085714285715
1111.0,evan_03,eVan,ebus_depot_n3,82.9298
1112.0,evan_03,eVan,ebus_depot_n3,83.04877142857143
1113.0,evan_03,eVan,ebus_depot_n3,83.16774285714285
1114.0,evan_03,eVan,ebus_depot_n3,83.28671428571428
1115.0,evan_03,eVan,ebus_depot_n3,83.40568571428571
1116.0,evan_03,eVan,ebus_depot_n3,83.52465714285715
1117.0,evan_03,eVan,ebus_depot_n3,83.64359999999999
1118.0,evan_03,eVan,ebus_depot_n3,83.76257142857143
1119.0,evan_03,eVan,ebus_depot_n3,83.88154285714286
1120.0,evan_03,eVan,ebus_depot_n3,84.00051428571429
1121.0,evan_03,eVan,ebus_depot_n3,84.11948571428572
1122.0,evan_03,eVan,ebus_depot_n3,84.23845714285714
1123.0,evan_03,eVan,ebus_depot_n3,84.3574
1124.0,evan_03,eVan,ebus_depot_n3,84.47637142857143
1125.0,evan_03,eVan,ebus_depot_n3,84.59534285714285
1126.0,evan_03,eVan,ebus_depot_n3,84.71431428571428
1127.0,evan_03,eVan,ebus_depot_n3,84.83328571428572
1128.0,evan_03,eVan,ebus_depot_n3,84.95225714285715
