timestep_sec,station_id,station_edge,station_capacity,vehicles_charging,vehicle_ids,charging_times_sec,total_power_load_kW,utilization_percent,available_slots
518.0,pa_8,E7,5,1,easyBike_forward4.1,121.0,25.0,20.0,4
518.0,pa_2_rev,NEG_E0,4,3,"easyBike_reverse4.1,easyBike_reverse2.2,eRickshaw_reverse1.3","220.0,206.0,8.0",60.0,75.0,1
518.0,pa_3_rev,NEG_E1,4,2,"easyBike_reverse2.1,eRickshaw_forward3.1","208.0,74.0",40.0,50.0,2
518.0,pa_6_rev,NEG_E5,5,3,"easyBike_forward4.2,easyBike_reverse3.4,eRickshaw_reverse3.2","79.0,41.0,31.0",75.0,60.0,2
518.0,pa_7_rev,NEG_E6,4,2,"easyBike_reverse3.3,eRickshaw_reverse1.1","126.0,29.0",40.0,50.0,2
518.0,pa_8_rev,NEG_E7,5,5,"easyBike_forward2.2,eRickshaw_forward2.0,easyBike_forward1.3,easyBike_forward1.2,eRickshaw_forward1.0","191.0,166.0,150.0,83.0,26.0",125.0,100.0,0
519.0,pa_2,E0,4,1,easyBike_forward1.4,105.0,20.0,25.0,3
519.0,pa_3,E1,4,4,"easyBike_forward1.5,eRickshaw_reverse4.1,easyBike_forward2.5,easyBike_forward1.6","62.0,15.0,13.0,11.0",80.0,100.0,0
519.0,pa_6,E5,5,2,"eRickshaw_forward4.0,eRickshaw_reverse1.0","166.0,21.0",50.0,40.0,3
519.0,pa_7,E6,4,2,"easyBike_reverse2.3,easyBike_forward3.2","119.0,108.0",40.0,50.0,2
519.0,pa_8,E7,5,1,easyBike_forward4.1,122.0,25.0,20.0,4
519.0,pa_2_rev,NEG_E0,4,3,"easyBike_reverse4.1,easyBike_reverse2.2,eRickshaw_reverse1.3","221.0,207.0,9.0",60.0,75.0,1
519.0,pa_3_rev,NEG_E1,4,2,"easyBike_reverse2.1,eRickshaw_forward3.1","209.0,75.0",40.0,50.0,2
519.0,pa_6_rev,NEG_E5,5,3,"easyBike_forward4.2,easyBike_reverse3.4,eRickshaw_reverse3.2","80.0,42.0,32.0",75.0,60.0,2
519.0,pa_7_rev,NEG_E6,4,2,"easyBike_reverse3.3,eRickshaw_reverse1.1","127.0,30.0",40.0,50.0,2
519.0,pa_8_rev,NEG_E7,5,5,"easyBike_forward2.2,eRickshaw_forward2.0,easyBike_forward1.3,easyBike_forward1.2,eRickshaw_forward1.0","192.0,167.0,151.0,84.0,27.0",125.0,100.0,0
520.0,pa_2,E0,4,1,easyBike_forward1.4,106.0,20.0,25.0,3
520.0,pa_3,E1,4,4,"easyBike_forward1.5,eRickshaw_reverse4.1,easyBike_forward2.5,easyBike_forward1.6","63.0,16.0,14.0,12.0",80.0,100.0,0
520.0,pa_6,E5,5,2,"eRickshaw_forward4.0,eRickshaw_reverse1.0","167.0,22.0",50.0,40.0,3
520.0,pa_7,E6,4,2,"easyBike_reverse2.3,easyBike_forward3.2","120.0,109.0",40.0,50.0,2
520.0,pa_8,E7,5,1,easyBike_forward4.1,123.0,25.0,20.0,4
520.0,pa_2_rev,NEG_E0,4,3,"easyBike_reverse4.1,easyBike_reverse2.2,eRickshaw_reverse1.3","222.0,208.0,10.0",60.0,75.0,1
520.0,pa_3_rev,NEG_E1,4,2,"easyBike_reverse2.1,eRickshaw_forward3.1","210.0,76.0",40.0,50.0,2
520.0,pa_6_rev,NEG_E5,5,3,"easyBike_forward4.2,easyBike_reverse3.4,eRickshaw_reverse3.2","81.0,43.0,33.0",75.0,60.0,2
520.0,pa_7_rev,NEG_E6,4,2,"easyBike_reverse3.3,eRickshaw_reverse1.1","128.0,31.0",40.0,50.0,2
520.0,pa_8_rev,NEG_E7,5,5,"easyBike_forward2.2,eRickshaw_forward2.0,easyBike_forward1.3,easyBike_forward1.2,eRickshaw_forward1.0","193.0,168.0,152.0,85.0,28.0",125.0,100.0,0
521.0,pa_2,E0,4,1,easyBike_forward1.4,107.0,20.0,25.0,3
521.0,pa_3,E1,4,4,"easyBike_forward1.5,eRickshaw_reverse4.1,easyBike_forward2.5,easyBike_forward1.6","64.0,17.0,15.0,13.0",80.0,100.0,0
521.0,pa_6,E5,5,2,"eRickshaw_forward4.0,eRickshaw_reverse1.0","168.0,23.0",50.0,40.0,3
521.0,pa_7,E6,4,2,"easyBike_reverse2.3,easyBike_forward3.2","121.0,110.0",40.0,50.0,2
521.0,pa_8,E7,5,1,easyBike_forward4.1,124.0,25.0,20.0,4
521.0,pa_2_rev,NEG_E0,4,3,"easyBike_reverse4.1,easyBike_reverse2.2,eRickshaw_reverse1.3","223.0,209.0,11.0",60.0,75.0,1
521.0,pa_3_rev,NEG_E1,4,2,"easyBike_reverse2.1,eRickshaw_forward3.1","211.0,77.0",40.0,50.0,2
521.0,pa_6_rev,NEG_E5,5,3,"easyBike_forward4.2,easyBike_reverse3.4,eRickshaw_reverse3.2","82.0,44.0,34.0",75.0,60.0,2
521.0,pa_7_rev,NEG_E6,4,2,"easyBike_reverse3.3,eRickshaw_reverse1.1","129.0,32.0",40.0,50.0,2
521.0,pa_8_rev,NEG_E7,5,5,"easyBike_forward2.2,eRickshaw_forward2.0,easyBike_forward1.3,easyBike_forward1.2,eRickshaw_forward1.0","194.0,169.0,153.0,86.0,29.0",125.0,100.0,0
522.0,pa_2,E0,4,1,easyBike_forward1.4,108.0,20.0,25.0,3
522.0,pa_3,E1,4,4,"easyBike_forward1.5,eRickshaw_reverse4.1,easyBike_forward2.5,easyBike_forward1.6","65.0,18.0,16.0,14.0",80.0,100.0,0
522.0,pa_6,E5,5,2,"eRickshaw_forward4.0,eRickshaw_reverse1.0","169.0,24.0",50.0,40.0,3
522.0,pa_7,E6,4,2,"easyBike_reverse2.3,easyBike_forward3.2","122.0,111.0",40.0,50.0,2
522.0,pa_8,E7,5,1,easyBike_forward4.1,125.0,25.0,20.0,4
522.0,pa_2_rev,NEG_E0,4,3,"easyBike_reverse4.1,easyBike_reverse2.2,eRickshaw_reverse1.3","224.0,210.0,12.0",60.0,75.0,1
522.0,pa_3_rev,NEG_E1,4,2,"easyBike_reverse2.1,eRickshaw_forward3.1","212.0,78.0",40.0,50.0,2
522.0,pa_6_rev,NEG_E5,5,3,"easyBike_forward4.2,easyBike_reverse3.4,eRickshaw_reverse3.2","83.0,45.0,35.0",75.0,60.0,2
522.0,pa_7_rev,NEG_E6,4,2,"easyBike_reverse3.3,eRickshaw_reverse1.1","130.0,33.0",40.0,50.0,2
522.0,pa_8_rev,NEG_E7,5,5,"easyBike_forward2.2,eRickshaw_forward2.0,easyBike_forward1.3,easyBike_forward1.2,eRickshaw_forward1.0","195.0,170.0,154.0,87.0,30.0",125.0,100.0,0
523.0,pa_2,E0,4,1,easyBike_forward1.4,109.0,20.0,25.0,3
523.0,pa_3,E1,4,4,"easyBike_forward1.5,eRickshaw_reverse4.1,easyBike_forward2.5,easyBike_forward1.6","66.0,19.0,17.0,15.0",80.0,100.0,0
523.0,pa_6,E5,5,2,"eRickshaw_forward4.0,eRickshaw_reverse1.0","170.0,25.0",50.0,40.0,3
523.0,pa_7,E6,4,2,"easyBike_reverse2.3,easyBike_forward3.2","123.0,112.0",40.0,50.0,2
523.0,pa_8,E7,5,1,easyBike_forward4.1,126.0,25.0,20.0,4
523.0,pa_2_rev,NEG_E0,4,3,"easyBike_reverse4.1,easyBike_reverse2.2,eRickshaw_reverse1.3","225.0,211.0,13.0",60.0,75.0,1
523.0,pa_3_rev,NEG_E1,4,2,"easyBike_reverse2.1,eRickshaw_forward3.1","213.0,79.0",40.0,50.0,2
523.0,pa_6_rev,NEG_E5,5,3,"easyBike_forward4.2,easyBike_reverse3.4,eRickshaw_reverse3.2","84.0,46.0,36.0",75.0,60.0,2
523.0,pa_7_rev,NEG_E6,4,2,"easyBike_reverse3.3,eRickshaw_reverse1.1","131.0,34.0",40.0,50.0,2
523.0,pa_8_rev,NEG_E7,5,5,"easyBike_forward2.2,eRickshaw_forward2.0,easyBike_forward1.3,easyBike_forward1.2,eRickshaw_forward1.0","196.0,171.0,155.0,88.0,31.0",125.0,100.0,0
524.0,pa_2,E0,4,1,easyBike_forward1.4,110.0,20.0,25.0,3
524.0,pa_3,E1,4,4,"easyBike_forward1.5,eRickshaw_reverse4.1,easyBike_forward2.5,easyBike_forward1.6","67.0,20.0,18.0,16.0",80.0,100.0,0
524.0,pa_6,E5,5,2,"eRickshaw_forward4.0,eRickshaw_reverse1.0","171.0,26.0",50.0,40.0,3
524.0,pa_7,E6,4,2,"easyBike_reverse2.3,easyBike_forward3.2","124.0,113.0",40.0,50.0,2
524.0,pa_8,E7,5,1,easyBike_forward4.1,127.0,25.0,20.0,4
524.0,pa_2_rev,NEG_E0,4,3,"easyBike_reverse4.1,easyBike_reverse2.2,eRickshaw_reverse1.3","226.0,212.0,14.0",60.0,75.0,1
524.0,pa_3_rev,NEG_E1,4,2,"easyBike_reverse2.1,eRickshaw_forward3.1","214.0,80.0",40.0,50.0,2
524.0,pa_6_rev,NEG_E5,5,3,"easyBike_forward4.2,easyBike_reverse3.4,eRickshaw_reverse3.2","85.0,47.0,37.0",75.0,60.0,2
524.0,pa_7_rev,NEG_E6,4,2,"easyBike_reverse3.3,eRickshaw_reverse1.1","132.0,35.0",40.0,50.0,2
524.0,pa_8_rev,NEG_E7,5,5,"easyBike_forward2.2,eRickshaw_forward2.0,easyBike_forward1.3,easyBike_forward1.2,eRickshaw_forward1.0","197.0,172.0,156.0,89.0,32.0",125.0,100.0,0
525.0,pa_2,E0,4,1,easyBike_forward1.4,111.0,20.0,25.0,3
525.0,pa_3,E1,4,4,"easyBike_forward1.5,eRickshaw_reverse4.1,easyBike_forward2.5,easyBike_forward1.6","68.0,21.0,19.0,17.0",80.0,100.0,0
525.0,pa_6,E5,5,2,"eRickshaw_forward4.0,eRickshaw_reverse1.0","172.0,27.0",50.0,40.0,3
525.0,pa_7,E6,4,2,"easyBike_reverse2.3,easyBike_forward3.2","125.0,114.0",40.0,50.0,2
525.0,pa_8,E7,5,1,easyBike_forward4.1,128.0,25.0,20.0,4
525.0,pa_2_rev,NEG_E0,4,3,"easyBike_reverse4.1,easyBike_reverse2.2,eRickshaw_reverse1.3","227.0,213.0,15.0",60.0,75.0,1
525.0,pa_3_rev,NEG_E1,4,2,"easyBike_reverse2.1,eRickshaw_forward3.1","215.0,81.0",40.0,50.0,2
525.0,pa_6_rev,NEG_E5,5,3,"easyBike_forward4.2,easyBike_reverse3.4,eRickshaw_reverse3.2","86.0,48.0,38.0",75.0,60.0,2
525.0,pa_7_rev,NEG_E6,4,2,"easyBike_reverse3.3,eRickshaw_reverse1.1","133.0,36.0",40.0,50.0,2
525.0,pa_8_rev,NEG_E7,5,5,"easyBike_forward2.2,eRickshaw_forward2.0,easyBike_forward1.3,easyBike_forward1.2,eRickshaw_forward1.0","198.0,173.0,157.0,90.0,33.0",125.0,100.0,0
526.0,pa_2,E0,4,1,easyBike_forward1.4,112.0,20.0,25.0,3
526.0,pa_3,E1,4,4,"easyBike_forward1.5,eRickshaw_reverse4.1,easyBike_forward2.5,easyBike_forward1.6","69.0,22.0,20.0,18.0",80.0,100.0,0
526.0,pa_6,E5,5,2,"eRickshaw_forward4.0,eRickshaw_reverse1.0","173.0,28.0",50.0,40.0,3
526.0,pa_7,E6,4,2,"easyBike_reverse2.3,easyBike_forward3.2","126.0,115.0",40.0,50.0,2
526.0,pa_8,E7,5,1,easyBike_forward4.1,129.0,25.0,20.0,4
526.0,pa_2_rev,NEG_E0,4,3,"easyBike_reverse4.1,easyBike_reverse2.2,eRickshaw_reverse1.3","228.0,214.0,16.0",60.0,75.0,1
526.0,pa_3_rev,NEG_E1,4,2,"easyBike_reverse2.1,eRickshaw_forward3.1","216.0,82.0",40.0,50.0,2
526.0,pa_6_rev,NEG_E5,5,3,"easyBike_forward4.2,easyBike_reverse3.4,eRickshaw_reverse3.2","87.0,49.0,39.0",75.0,60.0,2
526.0,pa_7_rev,NEG_E6,4,2,"easyBike_reverse3.3,eRickshaw_reverse1.1","134.0,37.0",40.0,50.0,2
526.0,pa_8_rev,NEG_E7,5,5,"easyBike_forward2.2,eRickshaw_forward2.0,easyBike_forward1.3,easyBike_forward1.2,eRickshaw_forward1.0","199.0,174.0,158.0,91.0,34.0",125.0,100.0,0
527.0,pa_2,E0,4,1,easyBike_forward1.4,113.0,20.0,25.0,3
527.0,pa_3,E1,4,4,"easyBike_forward1.5,eRickshaw_reverse4.1,easyBike_forward2.5,easyBike_forward1.6","70.0,23.0,21.0,19.0",80.0,100.0,0
527.0,pa_6,E5,5,2,"eRickshaw_forward4.0,eRickshaw_reverse1.0","174.0,29.0",50.0,40.0,3
527.0,pa_7,E6,4,2,"easyBike_reverse2.3,easyBike_forward3.2","127.0,116.0",40.0,50.0,2
527.0,pa_8,E7,5,1,easyBike_forward4.1,130.0,25.0,20.0,4
527.0,pa_2_rev,NEG_E0,4,3,"easyBike_reverse4.1,easyBike_reverse2.2,eRickshaw_reverse1.3","229.0,215.0,17.0",60.0,75.0,1
527.0,pa_3_rev,NEG_E1,4,2,"easyBike_reverse2.1,eRickshaw_forward3.1","217.0,83.0",40.0,50.0,2
527.0,pa_6_rev,NEG_E5,5,3,"easyBike_forward4.2,easyBike_reverse3.4,eRickshaw_reverse3.2","88.0,50.0,40.0",75.0,60.0,2
527.0,pa_7_rev,NEG_E6,4,2,"easyBike_reverse3.3,eRickshaw_reverse1.1","135.0,38.0",40.0,50.0,2
527.0,pa_8_rev,NEG_E7,5,5,"easyBike_forward2.2,eRickshaw_forward2.0,easyBike_forward1.3,easyBike_forward1.2,eRickshaw_forward1.0","200.0,175.0,159.0,92.0,35.0",125.0,100.0,0
528.0,pa_2,E0,4,1,easyBike_forward1.4,114.0,20.0,25.0,3
528.0,pa_3,E1,4,4,"easyBike_forward1.5,eRickshaw_reverse4.1,easyBike_forward2.5,easyBike_forward1.6","71.0,24.0,22.0,20.0",80.0,100.0,0
528.0,pa_6,E5,5,2,"eRickshaw_forward4.0,eRickshaw_reverse1.0","175.0,30.0",50.0,40.0,3
528.0,pa_7,E6,4,2,"easyBike_reverse2.3,easyBike_forward3.2","128.0,117.0",40.0,50.0,2
528.0,pa_8,E7,5,1,easyBike_forward4.1,131.0,25.0,20.0,4
528.0,pa_2_rev,NEG_E0,4,3,"easyBike_reverse4.1,easyBike_reverse2.2,eRickshaw_reverse1.3","230.0,216.0,18.0",60.0,75.0,1
528.0,pa_3_rev,NEG_E1,4,2,"easyBike_reverse2.1,eRickshaw_forward3.1","218.0,84.0",40.0,50.0,2
